stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,CorrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
36,0.5,7.0,46.062993100029416,,46.048692899988964,46.062993100029416,46.547269299975596,46.547269299975596,46.56350309995469,46.846838299999945,47.23474660003558,right,7.0,1,1,0.6813320000655949,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
37,0.5,7.0,47.24659110000357,,47.234907699981704,47.24659110000357,47.74846669996623,47.74846669996623,47.74846669996623,48.063076599966735,48.23140920000151,left,-7.0,1,1,0.47089080000296235,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
38,0.5,7.0,48.24627809994854,,48.23151259997394,48.24627809994854,48.730062299990095,48.730062299990095,48.746854400029406,49.029876600019634,49.20160230004694,right,7.0,1,1,0.46317789994645864,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
39,0.5,6.5,49.213682499947026,,49.201903700013645,49.213682499947026,49.713346599950455,49.713346599950455,49.713346599950455,50.01290720002726,50.180903899949044,left,-6.5,1,1,0.45758439996279776,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
40,0.5,6.5,50.196104099974036,,50.18102140002884,50.196104099974036,50.695565999951214,50.695565999951214,50.695565999951214,50.9967107999837,51.19693910004571,left,-6.5,1,1,0.49101819994393736,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
41,0.5,6.5,51.212445999961346,,51.1970355999656,51.212445999961346,51.69745039998088,51.69745039998088,51.713829300017096,52.01222749997396,52.047877899953164,left,-6.5,1,1,0.3489137999713421,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
42,0.5,6.0,52.06257219996769,,52.04800559999421,52.06257219996769,52.56228559999727,52.56228559999727,52.56228559999727,52.862748999963515,52.901100900024176,left,-6.0,1,1,0.3317100000567734,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
43,0.5,6.0,52.914788399939425,,52.90138699999079,52.914788399939425,53.413352499948815,53.413352499948815,53.4299117999617,53.71559130004607,53.73157409997657,right,6.0,0,0,0.31275090004783124,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
44,0.5,6.5,53.74593720003031,,53.7317021000199,53.74593720003031,54.24679989996366,54.24679989996366,54.24679989996366,54.54558050003834,54.76249769993592,left,-6.5,1,1,0.5092122999485582,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
45,0.5,6.5,54.778612999944016,,54.762564399978146,54.778612999944016,55.26215229998343,55.26215229998343,55.27929989993572,55.56294790003449,55.73282180004753,left,-6.5,1,1,0.46733839996159077,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
46,0.5,6.5,55.745758899953216,,55.73303899995517,55.745758899953216,56.24567750003189,56.24567750003189,56.24567750003189,56.546475899987854,56.63112329994328,left,-6.5,1,1,0.3797175999497995,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
47,0.5,6.0,56.64604889997281,,56.631309899967164,56.64604889997281,57.145391699974425,57.145391699974425,57.145391699974425,57.445201999973506,57.9130298999371,right,6.0,1,1,0.7561686000553891,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
48,0.5,6.0,57.928959600045346,,57.91316100000404,57.928959600045346,58.41285830002744,58.41285830002744,58.428566699963994,58.71385499997996,58.79752669995651,left,-6.0,1,1,0.3730249999789521,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
49,0.5,6.0,58.81310150003992,,58.79767460003495,58.81310150003992,59.312037399969995,59.312037399969995,59.32854769995902,59.61258590000216,60.11695689999033,right,6.0,1,1,0.7917014000704512,487587,001,2024-08-30_10h55.39.468,staircase_exp3,2024.1.5,None,2024-08-30 10h56.02.136369 +0530,
